Round,Group,Date,Home,Away, Time (ET),Staduim
1,A,"Mon, Nov. 21",Senegal,Netherlands,5 a.m.,Al Thumama Stadium
1,A,"Mon, Nov. 21",Qatar,Ecuador,11 a.m.,Al Bayt Stadium
1,B,"Mon, Nov. 21",England,IR Iran,8 a.m.,Khalifa Int'l Stadium
1,B,"Mon, Nov. 21",USA,Wales,2 p.m.,Ahmad Bin Ali Stadium
1,C,"Tues, Nov. 22",Argentina,Saudi Arabia,5 a.m.,Lusail Stadium
1,C,"Tues, Nov. 22",Mexico,Poland,11 a.m.,Stadium 974
1,D,"Tue, Nov. 22",Denmark,Tunisia,8 a.m.,Education City Stadium
1,D,"Tue, Nov. 22",France,Australia,2 p.m.,Al Janoub Stadium
1,E,"Wed, Nov. 23",Germany,Japan,8 a.m.,Khalifa Int'l
1,E,"Wed, Nov. 23",Spain,Costa Rica,11 a.m.,Al Thumama
1,F,"Wed, Nov. 23",Morocco,Croatia,5 a.m.,Al Bayt
1,F,"Wed, Nov. 23",Belgium,Canada,2 p.m.,Ahmad Bin Ali
1,G,"Thurs, Nov. 24",Switzerland,Cameroon,5 a.m.,Al Janoub Stadium
1,G,"Thurs, Nov. 24",Brazil,Serbia,2 p.m.,Lusail Stadium
1,H,"Thurs, Nov. 24",Uruguay,South Korea,8 a.m.,Education City Stadium
1,H,"Thurs, Nov. 24",Portugal,Ghana,11 a.m.,Stadium 974
2,A,"Fri, Nov. 25",Qatar,Senegal,8 a.m.,Al Thumama Stadium
2,A,"Fri, Nov. 25",Netherlands,Ecuador,11 a.m.,Khalifa Int'l Stadium
2,B,"Fri, Nov. 25",Wales,IR Iran,5 a.m.,Ahmad Bin Ali Stadium
2,B,"Fri, Nov. 25",England,USA,2 p.m.,Al Bayt Stadium
2,C,"Sat, Nov. 26",Poland,Saudi Arabia,8 a.m.,Education City Stadium
2,C,"Sat, Nov. 26",Argentina,Mexico,2 p.m.,Lusail Stadium
2,D,"Sat, Nov. 26",Tunisia,Australia,5 a.m.,Al Janoub Stadium
2,D,"Sat, Nov. 26",France,Denmark,11 a.m.,Stadium 974
